Country,Weather,Food Type,Recommended Foods
China,Cold,Dinner,"['Hot Pot', 'Noodles', 'Baozi']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
Bhutan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Cold,Dinner,"['Shorba', 'Kofta', 'Pita Bread']"
Pakistan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
Sri Lanka,Humid,Breakfast,"['Hoppers', 'Pol Sambol', 'Coconut Milk']"
China,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Breakfast,"['Hoppers', 'Pol Sambol', 'Coconut Milk']"
Bangladesh,Cold,Dinner,"['Kacchi Biryani', 'Beef Curry', 'Naan']"
Pakistan,Rainy,Breakfast,"['Paratha', 'Omelette', 'Chai']"
Pakistan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Dinner,"['Thukpa', 'Sel Roti', 'Gundruk']"
Bhutan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Breakfast,"['Hoppers', 'Pol Sambol', 'Coconut Milk']"
China,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Hot,Lunch,"['Rajma Chawal', 'Paneer Butter Masala', 'Naan']"
Sri Lanka,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Breakfast,"['Panta Bhat', 'Ilish Fry', 'Chutney']"
China,Rainy,Breakfast,"['Congee', 'Youtiao', 'Soy Milk']"
Nepal,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Rainy,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Dinner,"['Kacchi Biryani', 'Beef Curry', 'Naan']"
Bangladesh,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Dinner,"['Tandoori Chicken', 'Dal Makhani', 'Roti']"
India,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Breakfast,"['Hoentay', 'Porridge', 'Butter Tea']"
Pakistan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Breakfast,"['Hoppers', 'Pol Sambol', 'Coconut Milk']"
Nepal,Cold,Dinner,"['Thukpa', 'Sel Roti', 'Gundruk']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Breakfast,"['Aloo Paratha', 'Samosa', 'Chai']"
Pakistan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Hot,Lunch,"['Rajma Chawal', 'Paneer Butter Masala', 'Naan']"
India,Cold,Dinner,"['Tandoori Chicken', 'Dal Makhani', 'Roti']"
Sri Lanka,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Breakfast,"['Aloo Paratha', 'Samosa', 'Chai']"
China,Rainy,Breakfast,"['Congee', 'Youtiao', 'Soy Milk']"
Afghanistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
India,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
China,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Breakfast,"['Panta Bhat', 'Ilish Fry', 'Chutney']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Sri Lanka,Rainy,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Pakistan,Rainy,Breakfast,"['Paratha', 'Omelette', 'Chai']"
Pakistan,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Rainy,Breakfast,"['Panta Bhat', 'Ilish Fry', 'Chutney']"
Afghanistan,Hot,Lunch,"['Kabuli Pulao', 'Mantu', 'Naan']"
Afghanistan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Dinner,"['Kacchi Biryani', 'Beef Curry', 'Naan']"
Pakistan,Hot,Lunch,"['Biryani', 'Chicken Karahi', 'Naan']"
Nepal,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Cold,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Breakfast,"['Congee', 'Youtiao', 'Soy Milk']"
India,Hot,Breakfast,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Rainy,Breakfast,"['Bolani', 'Chai', 'Eggs']"
China,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
India,Hot,Lunch,"['Rajma Chawal', 'Paneer Butter Masala', 'Naan']"
Afghanistan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Afghanistan,Humid,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Nepal,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
China,Rainy,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Cold,Lunch,"['Food 1', 'Food 2', 'Food 3']"
Bhutan,Hot,Lunch,"['Ema Datshi', 'Red Rice', 'Pork Curry']"
Bangladesh,Humid,Dinner,"['Food 1', 'Food 2', 'Food 3']"
Bangladesh,Hot,Dinner,"['Food 1', 'Food 2', 'Food 3']"
